lemma,pos_group,doc_count,total_count,ChatGPT_suggested_category,Claude_suggested_category,Claude_notes,top_clusters,top_subjects,top_objects,top_comps,top_obls,top_noun_roles,top_head_verbs,top_amod,top_compound
AI,NOUN,625,1474,AI_TECH,TECH,,"Art, design, crafts:514 | Fiction writing:404 | Content writing:228",,,,,obj:447 | nsubj:360 | compound:277 | obl:129 | nmod:85,use:331 | ask:43 | help:40 | generate:34 | have:33,generative:15 | current:2 | single:2 | creative:1 | early:1,%:1 | work:1 | progress:1 | peruse:1 | processing:1
time,NOUN,263,352,TIME_RESOURCE,RESOURCE,,"Fiction writing:104 | Art, design, crafts:99 | Content writing:64",,,,,obj:97 | nmod:77 | obl:69 | obl:unmarked:44 | compound:20,save:27 | spend:22 | have:21 | take:16 | consume:7,more:19 | much:13 | less:9 | other:7 | same:4,research:2 | year:2 | travel:1 | planning:1 | prep:1
idea,NOUN,251,440,CREATIVE_CONCEPT,CONCEPT,,"Art, design, crafts:165 | Fiction writing:99 | Mix:68",,,,,obj:226 | obl:98 | nmod:51 | conj:29 | nsubj:15,come:41 | have:34 | give:27 | get:19 | brainstorm:16,general:8 | own:7 | creative:7 | original:7 | new:6,design:7 | brainstorming:6 | gift:3 | content:2 | theme:2
work,NOUN,232,324,WORK_CONTEXT,ARTIFACT,"Polysemous: artifact vs effort; top_head_verbs: do, use, take, create; top_amod: creative, own","Art, design, crafts:83 | Fiction writing:55 | Content writing:39",I:105 | it:17 | that:9 | AI:5 | who:4,that:3 | way:2 | movement:1 | this:1 | it:1,good:1 | continue:1 | hard:1 | great:1 | create:1,on:19 | project:11 | with:10 | AI:9 | it:8,obj:103 | nmod:97 | obl:65 | nsubj:28 | compound:11,do:20 | use:11 | take:9 | create:7 | have:7,creative:52 | own:7 | more:4 | write:4 | personal:3,grunt:4 | design:3 | quality:3 | admin:3 | editing:2
thing,NOUN,204,264,DISCOURSE_GENERAL,DISCOURSE,"Very generic placeholder; top_head_verbs: do, create, use, come, know","Art, design, crafts:80 | Fiction writing:77 | Audiovisual:37",,,,,obj:108 | obl:46 | nmod:41 | nsubj:17 | nsubj:outer:15,do:18 | create:8 | use:7 | come:5 | know:4,other:8 | new:7 | same:7 | good:5 | only:4,AI:1 | grunt:1 | work:1 | standalone:1
project,NOUN,191,248,WORK_CONTEXT,CONTEXT,,"Art, design, crafts:97 | Content writing:50 | Fiction writing:48",,,,,nsubj:69 | obl:65 | obj:44 | nmod:43 | compound:10,work:12 | involve:10 | have:9 | do:8 | use:7,typical:32 | recent:10 | creative:6 | different:5 | current:5,writing:3 | 3d:2 | video:2 | client:1 | mixing:1
person,NOUN,167,244,UNCLEAR,AGENT,"Human agent; top_noun_roles: nsubj; acts as subject of have, be, use","Art, design, crafts:70 | Fiction writing:69 | Audiovisual:42",,,,,nsubj:104 | nmod:39 | obl:32 | obj:26 | compound:11,have:9 | be:8 | use:8 | get:7 | see:5,many:11 | creative:5 | first:3 | most:3 | real:3,camera:1 | jerk:1 | hunting:1 | purpose:1 | practice:1
process,NOUN,161,201,PROCESS_WORKFLOW,PROCESS,,"Art, design, crafts:62 | Fiction writing:49 | Mix:34",,,,,obj:58 | obl:57 | nmod:44 | nsubj:25 | root:4,make:12 | use:10 | enjoy:5 | go:5 | continue:5,creative:34 | entire:6 | own:4 | actual:4 | same:3,writing:7 | editing:6 | design:5 | creation:4 | brainstorming:4
lot,NOUN,155,188,DISCOURSE_GENERAL,DISCOURSE,"Discourse quantifier; often in ""a lot of""","Art, design, crafts:48 | Fiction writing:46 | Content writing:32",,,,,obj:99 | obl:unmarked:30 | nsubj:30 | obl:14 | conj:4,be:16 | spend:9 | have:9 | save:8 | take:8,whole:4 | -decent:1,
writing,NOUN,152,237,CREATIVE_ARTIFACT,ARTIFACT,,"Fiction writing:109 | Content writing:56 | Art, design, crafts:36",,,,,compound:63 | nmod:49 | obl:45 | obj:37 | nsubj:21,use:12 | do:9 | take:4 | put:2 | like:2,creative:15 | original:4 | human:3 | professional:3 | actual:3,script:2 | blurb:2 | AI:2 | ghost:2 | copy:1
