section,label,pred_lemma,count
dynamic,AI,use,25
dynamic,AI,give,12
dynamic,AI,ask,5
dynamic,AI,tell,5
dynamic,AI,like,3
dynamic,AI,talk,3
dynamic,AI,approach,2
dynamic,AI,find,2
dynamic,AI,get,2
dynamic,AI,bounce,1
dynamic,AI,have,1
dynamic,AI,provide,1
dynamic,AI,start,1
dynamic,AI,try,1
dynamic,AI,turn,1
dynamic,AI,utilize,1
dynamic,HUMAN,drive,29
dynamic,HUMAN,have,12
dynamic,HUMAN,get,7
dynamic,HUMAN,make,6
dynamic,HUMAN,want,6
dynamic,HUMAN,need,5
dynamic,HUMAN,come,4
dynamic,HUMAN,describe,4
dynamic,HUMAN,consider,2
dynamic,HUMAN,give,2
dynamic,HUMAN,lead,2
dynamic,HUMAN,think,2
dynamic,HUMAN,plan,1
dynamic,HUMAN,prefer,1
dynamic,HUMAN,spend,1
dynamic,HUMAN,write,1
project_example,AI,use,61
project_example,AI,ask,13
project_example,AI,give,8
project_example,AI,have,4
project_example,AI,tell,4
project_example,AI,do,3
project_example,AI,realize,2
project_example,AI,bounce,1
project_example,AI,feed,1
project_example,AI,find,1
project_example,AI,provide,1
project_example,AI,reach,1
project_example,AI,run,1
project_example,AI,try,1
project_example,AI,turn,1
project_example,HUMAN,use,10
project_example,HUMAN,have,8
project_example,HUMAN,come,7
project_example,HUMAN,need,7
project_example,HUMAN,want,6
project_example,HUMAN,find,4
project_example,HUMAN,get,4
project_example,HUMAN,create,3
project_example,HUMAN,do,3
project_example,HUMAN,change,2
project_example,HUMAN,decide,2
project_example,HUMAN,make,2
project_example,HUMAN,take,2
project_example,HUMAN,describe,1
project_example,HUMAN,give,1
project_example,HUMAN,struggle,1
project_example,HUMAN,tend,1
project_example,HUMAN,think,1
project_example,HUMAN,write,1
walkthrough,AI,use,158
walkthrough,AI,ask,19
walkthrough,AI,find,12
walkthrough,AI,reach,12
walkthrough,AI,like,7
walkthrough,AI,give,5
walkthrough,AI,try,5
walkthrough,AI,help,4
walkthrough,AI,rely,4
walkthrough,AI,have,3
walkthrough,AI,tell,3
walkthrough,AI,turn,3
walkthrough,AI,lean,2
walkthrough,AI,run,2
walkthrough,AI,talk,2
walkthrough,AI,tend,2
walkthrough,AI,want,2
walkthrough,AI,feed,1
walkthrough,AI,start,1
walkthrough,AI,utilize,1
walkthrough,HUMAN,have,11
walkthrough,HUMAN,want,10
walkthrough,HUMAN,come,7
walkthrough,HUMAN,do,5
walkthrough,HUMAN,get,5
walkthrough,HUMAN,need,4
walkthrough,HUMAN,use,4
walkthrough,HUMAN,write,4
walkthrough,HUMAN,give,3
walkthrough,HUMAN,prefer,3
walkthrough,HUMAN,think,3
walkthrough,HUMAN,catch,2
walkthrough,HUMAN,create,2
walkthrough,HUMAN,know,2
walkthrough,HUMAN,produce,2
walkthrough,HUMAN,receive,2
walkthrough,HUMAN,tend,2
walkthrough,HUMAN,find,1
walkthrough,HUMAN,plan,1
walkthrough,HUMAN,spend,1
walkthrough,HUMAN,struggle,1
