transcript_id,sent_id,section,role,group,long_cluster,voice,pattern,subj_role,subj_lemma,subj_text,pred_lemma,pred_text,obj_role,obj_lemma,obj_text,action_lemma,action_text,ai_in_ctx,ai_in_obl,ai_token_hits,sig_norm,triplet_sig,label,has_action,obj_is_placeholder,is_passive
creativity_0000,1,walkthrough,user,Audiovisual,4,ACT,SVO,SUBJECT,I,I,use,use,OBJECT,tool,AI tools,,,True,False,1,i||use||tool||,I :: use :: tool,AI,False,False,False
creativity_0000,2,walkthrough,user,Audiovisual,4,ACT,SVxCOMP,SUBJECT,I,I,mention,mention,,,,use,use,False,False,0,i||mention||||use,I :: mention ::  :: use,,True,False,False
creativity_0000,2,walkthrough,user,Audiovisual,4,ACT,SVO,SUBJECT,I,I,use,use,OBJECT,learning,some machine learning,,,False,False,0,i||use||learning||,I :: use :: learning,,False,False,False
creativity_0000,4,walkthrough,user,Audiovisual,4,ACT,SV,SUBJECT,it,it,talk,talking,,,,,,False,False,0,it||talk||||,it :: talk :: ,,False,False,False
creativity_0000,1,project_example,user,Audiovisual,4,ACT,SVO,SUBJECT,I,I,use,using,OBJECT,AI,AI,,,True,False,1,i||use||ai||,I :: use :: AI,AI,False,False,False
creativity_0000,3,project_example,user,Audiovisual,4,ACT,SVOxCOMP,SUBJECT,I,I,ask,asking,OBJECT,AI,AI,help,help,True,False,1,i||ask||ai||help,I :: ask :: AI :: help,AI,True,False,False
creativity_0000,3,project_example,user,Audiovisual,4,ACT,SVO,SUBJECT,what,what,make,made,OBJECT,score,the score,,,True,False,1,what||make||score||,what :: make :: score,,False,False,False
creativity_0000,1,dynamic,user,Audiovisual,4,ACT,SVOxCOMP,SUBJECT,it,it,help,helped,OBJECT,I,me,refine,refine,False,False,0,it||help||i||refine,it :: help :: I :: refine,,True,False,False
creativity_0000,2,dynamic,user,Audiovisual,4,ACT,SV,SUBJECT,I,I,send,sending,,,,,,False,False,0,i||send||||,I :: send :: ,,False,False,False
creativity_0000,2,dynamic,user,Audiovisual,4,PASS,SVO,PATIENT_SUBJ,that,that,consider,considered,PASS_PATIENT,that,that,,,False,False,0,that||consider||that||,that :: consider :: that,,False,True,True
creativity_0001,1,walkthrough,user,Audiovisual,4,ACT,SVO,SUBJECT,I,I,use,using,OBJECT,it,it,,,False,False,0,i||use||it||,I :: use :: it,AI,False,True,False
creativity_0001,3,walkthrough,user,Audiovisual,4,ACT,SV,SUBJECT,that,That,be,is,,,,,,False,False,0,that||be||||,that :: be :: ,,False,False,False
creativity_0001,3,walkthrough,user,Audiovisual,4,ACT,SV,SUBJECT,write,write,work,works,,,,,,False,False,0,write||work||||,write :: work :: ,,False,False,False
creativity_0001,3,walkthrough,user,Audiovisual,4,ACT,SVO,SUBJECT,I,me,write,write,OBJECT,instrumental,full instrumentals,,,False,False,0,i||write||instrumental||,I :: write :: instrumental,,False,False,False
creativity_0001,4,walkthrough,user,Audiovisual,4,ACT,SVO,SUBJECT,it,it,come,comes,OBJECT,time,time,,,True,False,2,it||come||time||,it :: come :: time,,False,False,False
creativity_0001,4,walkthrough,user,Audiovisual,4,ACT,SVO,SUBJECT,I,I,ask,ask,OBJECT,ChatGPT,ChatGPT,,,True,False,2,i||ask||chatgpt||,I :: ask :: ChatGPT,,False,False,False
creativity_0001,5,walkthrough,user,Audiovisual,4,ACT,SV,SUBJECT,get,getting,lead,leads,,,,,,False,False,0,get||lead||||,get :: lead :: ,,False,False,False
creativity_0001,7,walkthrough,user,Audiovisual,4,ACT,SVO,SUBJECT,I,I,have,have,OBJECT,worth,EP worth,,,False,False,0,i||have||worth||,I :: have :: worth,,False,False,False
creativity_0001,8,walkthrough,user,Audiovisual,4,ACT,SV,SUBJECT,theme,themes,be,'s,,,,,,False,False,0,theme||be||||,theme :: be :: ,,False,False,False
creativity_0001,9,walkthrough,user,Audiovisual,4,ACT,SVOxCOMP,SUBJECT,I,I,have,have,OBJECT,llm,an LLM,drop,drop,True,False,1,i||have||llm||drop,I :: have :: llm :: drop,,True,False,False
creativity_0001,2,project_example,user,Audiovisual,4,ACT,SVO,SUBJECT,I,I,have,had,OBJECT,name,placeholder names,,,False,False,0,i||have||name||,I :: have :: name,,False,False,False
creativity_0001,2,project_example,user,Audiovisual,4,ACT,SVxCOMP,SUBJECT,I,I,want,wanted,,,,change,change,False,False,0,i||want||||change,I :: want ::  :: change,HUMAN,True,False,False
creativity_0001,3,project_example,user,Audiovisual,4,ACT,SVO,SUBJECT,I,I,tell,told,OBJECT,ChatGPT,ChatGPT,,,True,False,1,i||tell||chatgpt||,I :: tell :: ChatGPT,,False,False,False
creativity_0001,4,project_example,user,Audiovisual,4,ACT,SVO,SUBJECT,ChatGPT,ChatGPT,know,knows,OBJECT,lot,a lot,,,True,False,1,chatgpt||know||lot||,ChatGPT :: know :: lot,,False,False,False
creativity_0001,4,project_example,user,Audiovisual,4,ACT,SVO,SUBJECT,it,it,use,use,OBJECT,info,that info,,,True,False,1,it||use||info||,it :: use :: info,,False,False,False
creativity_0001,5,project_example,user,Audiovisual,4,ACT,SVO,SUBJECT,I,I,tell,told,OBJECT,it,it,,,False,False,0,i||tell||it||,I :: tell :: it,AI,False,True,False
creativity_0001,5,project_example,user,Audiovisual,4,ACT,SVO,SUBJECT,I,I,tell,told,OBJECT,name,the 4 working track names,,,False,False,0,i||tell||name||,I :: tell :: name,,False,False,False
creativity_0001,5,project_example,user,Audiovisual,4,ACT,SV,SUBJECT,I,I,like,liked,,,,,,False,False,0,i||like||||,I :: like :: ,,False,False,False
creativity_0001,5,project_example,user,Audiovisual,4,ACT,SV,SUBJECT,I,I,do,did,,,,,,False,False,0,i||do||||,I :: do :: ,,False,False,False
creativity_0001,6,project_example,user,Audiovisual,4,ACT,SV,SUBJECT,we,We,go,went,,,,,,False,False,0,we||go||||,we :: go :: ,,False,False,False
creativity_0001,6,project_example,user,Audiovisual,4,ACT,SV,SUBJECT,I,I,end,ended,,,,,,False,False,0,i||end||||,I :: end :: ,,False,False,False
creativity_0001,1,dynamic,user,Audiovisual,4,ACT,SVxCOMP,SUBJECT,I,I,like,like,,,,keep,keep,False,False,0,i||like||||keep,I :: like ::  :: keep,,True,False,False
creativity_0001,2,dynamic,user,Audiovisual,4,ACT,SVO,SUBJECT,I,I,have,have,OBJECT,idea,a specific idea,,,False,False,0,i||have||idea||,I :: have :: idea,HUMAN,False,False,False
