label,pred_lemma,count
AI,use,244
AI,ask,37
AI,give,25
AI,find,15
AI,reach,13
AI,tell,12
AI,like,10
AI,have,8
AI,try,7
AI,talk,5
AI,turn,5
AI,help,4
AI,rely,4
AI,do,3
AI,run,3
AI,approach,2
AI,bounce,2
AI,feed,2
AI,get,2
AI,lean,2
AI,provide,2
AI,realize,2
AI,start,2
AI,tend,2
AI,utilize,2
AI,want,2
HUMAN,have,31
HUMAN,drive,29
HUMAN,want,22
HUMAN,come,18
HUMAN,get,16
HUMAN,need,16
HUMAN,use,14
HUMAN,do,8
HUMAN,make,8
HUMAN,give,6
HUMAN,think,6
HUMAN,write,6
HUMAN,create,5
HUMAN,describe,5
HUMAN,find,5
HUMAN,prefer,4
HUMAN,tend,3
HUMAN,catch,2
HUMAN,change,2
HUMAN,consider,2
HUMAN,decide,2
HUMAN,know,2
HUMAN,lead,2
HUMAN,plan,2
HUMAN,produce,2
HUMAN,receive,2
HUMAN,spend,2
HUMAN,struggle,2
HUMAN,take,2
