lemma,upos,doc_count,total_count,mean_count,max_count,category,notes,pos_group,suggested_category_ChatGPT,suggested_category_Claude,notes_Claude,top_subjects,top_objects,top_comps,top_obls,top_noun_roles,top_head_verbs,top_amod,top_compound
AI,NOUN+PROPN,625,1474,2.3584,12,,,NOUN,AI_TECH,TECH,,I:2 | that:2 | it:1 | you:1 | what:1,,evolve:1 | select:1,image:1 | 3d:1,obj:447 | nsubj:360 | compound:277 | obl:129 | nmod:85,use:331 | ask:43 | help:40 | generate:34 | have:33,generative:15 | current:2 | single:2 | creative:1 | early:1,%:1 | work:1 | progress:1 | peruse:1 | processing:1
time,NOUN+PROPN,263,352,1.338403042,5,,,NOUN,TIME_RESOURCE,RESOURCE,,,,,,obj:97 | nmod:77 | obl:69 | obl:unmarked:44 | compound:20,save:27 | spend:22 | have:21 | take:16 | consume:7,more:19 | much:13 | less:9 | other:7 | same:4,research:2 | year:2 | travel:1 | planning:1 | prep:1
idea,NOUN+PROPN,251,440,1.752988048,10,,,NOUN,CREATIVE_CONCEPT,CONCEPT,,,,,,obj:226 | obl:98 | nmod:51 | conj:29 | nsubj:15,come:41 | have:34 | give:27 | get:19 | brainstorm:16,general:8 | own:7 | creative:7 | original:7 | new:6,design:7 | brainstorming:6 | gift:3 | content:2 | theme:2
work,NOUN+PROPN,232,324,1.396551724,5,,,NOUN,WORK_CONTEXT,ARTIFACT,Polysemous: artifact vs effort vs employment,I:105 | it:17 | that:9 | AI:5 | who:4,that:3 | way:2 | movement:1 | this:1 | it:1,good:1 | continue:1 | hard:1 | great:1 | create:1,on:19 | project:11 | with:10 | AI:9 | it:8,obj:103 | nmod:97 | obl:65 | nsubj:28 | compound:11,do:20 | use:11 | take:9 | create:7 | have:7,creative:52 | own:7 | more:4 | write:4 | personal:3,grunt:4 | design:3 | quality:3 | admin:3 | editing:2
thing,NOUN+PROPN,204,264,1.294117647,6,,,NOUN,DISCOURSE_GENERAL,DISCOURSE,Extremely generic placeholder,,,,,obj:108 | obl:46 | nmod:41 | nsubj:17 | nsubj:outer:15,do:18 | create:8 | use:7 | come:5 | know:4,other:8 | new:7 | same:7 | good:5 | only:4,AI:1 | grunt:1 | work:1 | standalone:1
project,NOUN+PROPN,191,248,1.298429319,4,,,NOUN,WORK_CONTEXT,CONTEXT,,it:2 | this:1 | feature:1,,,,nsubj:69 | obl:65 | obj:44 | nmod:43 | compound:10,work:12 | involve:10 | have:9 | do:8 | use:7,typical:32 | recent:10 | creative:6 | different:5 | current:5,writing:3 | 3d:2 | video:2 | client:1 | mixing:1
person,NOUN+PROPN,167,244,1.461077844,6,,,NOUN,,AGENT,,,,,,nsubj:104 | nmod:39 | obl:32 | obj:26 | compound:11,have:9 | be:8 | use:8 | get:7 | see:5,many:11 | creative:5 | first:3 | most:3 | real:3,camera:1 | jerk:1 | hunting:1 | purpose:1 | practice:1
process,NOUN+PROPN,161,201,1.248447205,4,,,NOUN,PROCESS_WORKFLOW,PROCESS,,I:2 | it:2 | ideation:1 | which:1 | change:1,information:2 | script:1,,,obj:58 | obl:57 | nmod:44 | nsubj:25 | root:4,make:12 | use:10 | enjoy:5 | go:5 | continue:5,creative:34 | entire:6 | own:4 | actual:4 | same:3,writing:7 | editing:6 | design:5 | creation:4 | brainstorming:4
lot,NOUN+PROPN,155,188,1.212903226,5,,,NOUN,DISCOURSE_GENERAL,DISCOURSE,Discourse quantifier,,,,,obj:99 | obl:unmarked:30 | nsubj:30 | obl:14 | conj:4,be:16 | spend:9 | have:9 | save:8 | take:8,whole:4 | -decent:1,
writing,NOUN+PROPN,152,237,1.559210526,8,,,NOUN,CREATIVE_ARTIFACT,ARTIFACT,,,,,,compound:63 | nmod:49 | obl:45 | obj:37 | nsubj:21,use:12 | do:9 | take:4 | put:2 | like:2,creative:15 | original:4 | human:3 | professional:3 | actual:3,script:2 | blurb:2 | AI:2 | ghost:2 | copy:1
way,NOUN+PROPN,147,171,1.163265306,4,,,NOUN,DISCOURSE_GENERAL,DISCOURSE,Very generic manner/method term,,,,,obl:78 | obj:38 | obl:unmarked:20 | nsubj:13 | conj:6,use:16 | find:12 | be:6 | change:5 | feel:5,different:8 | same:5 | new:4 | easy:4 | only:3,
image,NOUN+PROPN,144,263,1.826388889,10,,,NOUN,CREATIVE_ARTIFACT,TECH,Usually visual artifact; occasionally reputation,request:1,photo:1,,,obj:117 | compound:44 | obl:40 | nmod:33 | conj:12,generate:25 | create:16 | use:13 | get:9 | have:6,generate:6 | realistic:4 | good:2 | specific:2 | static:2,reference:4 | AI:4 | stock:4 | quality:3 | 2nd:2
tool,NOUN+PROPN,140,194,1.385714286,4,,,NOUN,AI_TECH,TECH,,,,,,obj:74 | obl:50 | nsubj:20 | nmod:18 | root:11,use:53 | see:9 | have:5 | reach:4 | make:4,useful:6 | more:4 | new:4 | many:4 | different:2,AI:71 | editing:2 | audio:2 | efficiency:1 | reality:1
model,NOUN+PROPN,128,216,1.6875,8,,,NOUN,AI_TECH,TECH,Polysemous: AI model vs template vs person,,it:1,,scratch:1 | image:1 | reference:1 | there:1,nsubj:72 | obj:51 | obl:29 | iobj:23 | nmod:23,use:25 | ask:18 | give:11 | have:5 | provide:5,different:5 | large:4 | generate:4 | multiple:3 | advanced:2,AI:41 | image:6 | D:4 | text:3 | language:3
example,NOUN+PROPN,110,136,1.236363636,3,,,NOUN,META_RESEARCH,DISCOURSE,,,,,,obl:95 | nmod:15 | obj:10 | nsubj:7 | compound:4,have:13 | use:10 | ask:9 | give:8 | say:4,previous:1 | recent:1 | real:1 | above:1 | different:1,world:2 | desk:1 | textbook:1 | character:1
question,NOUN+PROPN,105,110,1.047619048,2,,,NOUN,META_RESEARCH,DISCOURSE,,that:2 | problem:1 | it:1 | you:1,decision:1,make:1,,obj:60 | root:16 | obl:11 | nsubj:7 | conj:4,ask:26 | have:20 | answer:13 | let:4 | sound:3,quick:2 | difficult:2 | more:2 | precise:2 | obscure:1,troubleshooting:1 | workflow:1 | choice:1 | follow:1 | biology:1
research,NOUN+PROPN,93,129,1.387096774,7,,,NOUN,META_RESEARCH,PROCESS,,I:2 | it:2 | project:1 | which:1 | what:1,thing:2 | what:2 | topic:2 | plan:1 | detail:1,get:1 | save:1,genre:1 | example:1 | sort:1 | own:1,obj:33 | obl:29 | compound:25 | conj:15 | nmod:13,do:17 | use:8 | help:6 | focus:2 | make:2,own:5 | deep:4 | extensive:2 | write:1 | visual:1,AI:3 | market:2 | art:1 | pre-writing:1 | writing:1
content,NOUN+PROPN,92,128,1.391304348,4,,,NOUN,META_RESEARCH,ARTIFACT,Polysemous: artifact vs satisfaction,,,,,obj:43 | nmod:28 | compound:18 | obl:14 | conj:13,create:16 | write:6 | generate:3 | work:3 | produce:2,write:4 | other:4 | more:3 | generate:2 | cheap:2,video:4 | AI:3 | seo:2 | website:2 | media:2
story,NOUN+PROPN,88,141,1.602272727,11,,,NOUN,CREATIVE_ARTIFACT,ARTIFACT,,,,,,obj:44 | obl:31 | nmod:25 | compound:14 | conj:10,write:16 | create:4 | tell:4 | go:4 | give:2,short:14 | own:3 | whole:3 | entire:2 | meaningful:1,AI:2 | writing:1 | fiction:1 | micro-:1 | horror:1
art,NOUN+PROPN,88,130,1.477272727,4,,,NOUN,CREATIVE_ARTIFACT,ARTIFACT,,it:2 | strength:1 | I:1,,direct:1,,obj:34 | compound:30 | obl:21 | nmod:17 | nsubj:11,make:11 | create:8 | use:6 | come:3 | do:3,true:4 | generate:4 | real:3 | human:3 | visual:3,concept:7 | AI:5 | placeholder:2 | textile:2 | installation:1
design,NOUN+PROPN,85,145,1.705882353,7,,,NOUN,CREATIVE_ARTIFACT,ARTIFACT,,I:10 | one:2 | project:2 | who:1 | that:1,logo:3 | image:2 | artwork:2 | layout:1 | map:1,encourage:1 | coordinate:1 | mimic:1,hand:1 | business:1 | bottle:1 | space:1 | all:1,compound:43 | obj:36 | conj:24 | nmod:19 | obl:17,use:4 | make:4 | plan:3 | sketch:3 | put:3,graphic:10 | human:2 | several:2 | mock:1 | basic:1,sound:4 | game:3 | cover:3 | logo:3 | board:2
part,NOUN+PROPN,84,92,1.095238095,2,,,NOUN,TIME_RESOURCE,RESOURCE,Very generic subset/portion term,,,,,obj:30 | obl:23 | conj:6 | root:6 | acl:relcl:5,use:5 | do:4 | handle:3 | write:2 | automate:2,creative:8 | most:7 | fun:3 | certain:3 | huge:2,song:1 | writing:1 | filming:1 | thinking:1
character,NOUN+PROPN,82,146,1.780487805,7,,,NOUN,CREATIVE_ARTIFACT,ARTIFACT,Polysemous: fictional entity vs personality trait,,,,,nmod:36 | compound:33 | obj:25 | conj:19 | obl:12,have:5 | say:3 | ask:2 | base:2 | play:2,main:8 | particular:2 | support:2 | popular:2 | various:1,background:2 | side:1 | player:1 | Disney:1 | D:1
etc.,NOUN+PROPN,81,86,1.061728395,2,,,NOUN,,DISCOURSE,,,,,,conj:86,write:2 | do:1 | finish:1 | have:1 | brainstorm:1,,
